,wind_gw,solar_gw
2019,37.505,33.731
2020,41.242710958392806,43.15449020206329
2021,52.99847049824301,62.92862612237531
2022,66.2192030193198,87.84138831159322
2023,80.95285192044774,118.30319011769119
2024,97.23171191907812,154.55117655289993
2025,115.07169349728855,196.63201025951625
2026,134.47201704479346,244.39994938404985
2027,155.41532203403688,297.5288493243845
2028,177.86816145905982,355.53534645475605
2029,201.78183981771298,417.8097476105405
2030,227.09354431495422,483.6510069178121
2031,253.72771367082834,552.3024888621042
2032,281.59758669576405,622.9858273228372
2033,310.60687327555223,694.9309353088022
2034,340.6514931305666,767.4009707597797
2035,371.62133218143293,839.7117318742472
2036,403.40197206955304,911.2454922489114
2037,435.8763548788696,981.4596752695976
2038,468.9263519693511,1049.8910151711023
2039,502.4342127110202,1116.1559791829256
2040,536.2838755174672,1179.948257535135
2041,570.3621297066453,1241.0340928652377
2042,604.5596222163999,1299.2461421362987
2043,638.7717079829413,1354.4764625865216
2044,672.8991468120378,1406.6691036697216
2045,706.848652835126,1455.812680022366
2046,740.533305176783,1501.9332029082402
2047,773.8728303196283,1545.0873629710127
2048,806.7937679061038,1585.356386834026
2049,839.229532440551,1622.8405339535018
2050,871.1203836295855,1657.6542570298836
